Net Collections Amount
825783207.52
1675149472.77
514898708.15
8147.53
28230491.85
27123361.71
318581.04
125089394.99
70866418415.38
168782.67
8284.78
8533173.46
18491.46
102500407.73
60330376.82
1439.52
60.0
1656.9
5023887.31
701183.42
1977590917.29
1464.26
5513.58
65707759.78
1624591482.83
836206.15
579339.35
183162081.37
3099422877.51
244207458.99
19707.67
13422153.14
423154.98
1450239.36
1332409287.15
349999798.27
399922985.01
12676836.86
1098990.54
9757605.92
1210849026.5
6267087.69
264095193.24
19611880460.2
208470.0
1599017393.52
-50.0
26079594.14
937455.35
8162.47
137344.03
1293942109.67
850982.33
63145743.71
345660.79
270574256.87
132000.0
47815.28
100298.25
140274979.12
262084074.84
179041325.8
338116.55
2233445.79
22137984.41
35.29
98006875.7
7723445.52
410310912.71
10773996761.7
137043.35
140.0
4299380637.17
57220130.12
139111687.95
27064371.0
739986521.54
1990921462.64
1763.44
40319696.75
20745202.11
236879971.86
6190.0
304817166.58
9186.82
376892451.36
23546635.78
1148175.79
7631664.97
-9430.97
1211851916.59
7980210754.53
51834.41
13920393.92
3348140.32
4297061736.73
75658.62
24099.74
52533661.57
474837970.91
64825886.3
136726265.55
468762874.88
376512.58
89980.1
50160733.81
479021224.46
1665574417.24
476199848.44
476744.75
204.0
1383604.62
4145.8
64269.12
290949.99
16780833.93
16843946.35
7522426.47
1297094154.89
11311769068.1
8183.38
1865960335.41
108794.31
1097544624.41
70191106.75
1043745840.31
1478.1
826445779.56
337357482.57
22219866.42
195146.25
8164604945.88
11500997.17
1903046292.98
9038248402.76
277711.6
6785424.65
67668913.33
441260431.93
9870444874.96
73690.38
317370541.99
1166149.87
449142254.29
89445.0
50507536.88
405.19
2472541316.82
310964463.31
89770820.11
199993.23
610357237.74
5834.24
164852724.75
43329818.22
190350127.38
6203961933.13
9130.86
87234.25
168001918.4
41942137.7
5965810770.19
6276072.11
1316.0
18716263.75
84856.97
19723.4
3233146227.86
22806501.74
196268526.63
1628462492.72
539500676.34
4350196791.94
9016.67
42098864.43
2171.4
15235674.17
408278.04
157297.49
1871.65
1246.78
1449548.84
8385293136.31
58462345.8
988595551.88
5652073966.19
271806503.46
2905555346.94
11356226.65
1210532.44
25655.0
14402565.88
22644.71
207928896.93
33854701.55
78210812.65
402854600.43
3640.17
46295464.11
87525153.08
6150440708.39
1023.74
154433550.43
89702.27
12762330952.41
1659014892.69
438446182.47
487420.68
79316665.49
3808692486.2
305.16
188845.15
62962484.0
13384445.11
58553185.2
200.0
1570157.31
41591436.45
1116631362.0
6202.12
3742023327.54
57864.98
9759395.47
493264.54
1673097228.0
38600.0
37314670.96
405152.92
859178.36
173.34
3357.36
36078.74
4691100.5
1265967751.13
17194.48
263235.71
35288.78
116837722.4
1702398155.58
723032.01
250.0
183303.47
687.48
113777722.54
74972057.39
661981569.2
1529962037.14
13465029.11
203858386.51
11374037.31
510890015.46
264822726.38
198503.57
7730.55
33286616.3
291.2
32473272.03
14061.71
182831696.12
88933687.63
1013294964.84
2837.47
1886653898.1
30177.35
2482189518.1
204.0
22402917.05
269735411.21
4390.0
9163706.33
148135442.65
54222.07
7557.15
139604015.64
17808340.77
484361522.08
18107.89
228563.53
35678042.19
818419893.23
18892670.48
11835513.59
1409.21
58858084.71
172158056.83
22032.0
33400.48
736577336.08
12189267.09
5398824862.17
120700.04
182209632.09
744359789.32
413636.68
919397.35
29099.0
8897779099.01
1432536.29
225628417.96
560604123.78
5188069283.59
15.0
307603435.75
3527770.64
283704.12
476680165.87
27740.87
1322382.29
499381.06
704275059.35
79976421.62
1365136855.64
58876124.45
875271.16
28592971.09
6802351776.98
820790.23
31951399.48
48743219.01
282436.79
1789638226.37
8842696.59
451941764.59
295.0
35337476.91
6764266857.21
130996986.06
1183.53
319567963.89
184877407.94
182044841.64
43726953.97
1197696603.65
216140.08
1034775342.74
1306517545.51
87772.7
16840.0
10310974.7
2008.27
51365.06
66087.13
12030048.2
11480.0
28668668.61
16198.09
259902004.27
1731985.47
1063694426.07
55984417.46
4745276.25
56743618.18
1755.49
104278836.76
29501206.23
194392701.32
105897024.51
401125756.8
8121409492.66
15300.0
16221546.9
1813116586.28
148970.01
803830.31
868400056.63
26000.95
1247.0
3558465.08
3871945.17
4768447.59
85297678.09
147643072.95
44072331.83
43982249.58
152461.63
14794457.58
11255745.25
93743554.73
3568222279.25
17759928.4
41419.91
41916515.22
197032.39
4444507.94
541.05
71.0
1227224996.28
126400637.68
4125.21
459698.51
1354568441.25
17807845.67
1786371.32
945011939.56
7666007546.86
5968.28
367536117.95
1462535730.4
286198340.82
76395083.1
783583360.88
18343157.59
453625047.21
8818521.51
44769574.83
82284267.68
11986983.7
114140509.04
23892225.63
205734214.42
430246927.35
148888.73
16332.86
586474793.23
5811592.13
8199619610.63
59697699.41
31731.45
130522863.46
19544345.82
20964460.34
385680144.02
345628.24
17392250.52
38660.0
44278091.53
1342707120.91
10751266154.44
5520880121.94
11898928845.78
13927.9
15190151.93
16935216065.1
2421613479.87
297233.56
480745185.32
47398574.09
575059265.36
19603550.39
119716748.18
15685.66
5953018715.04
434551096.56
61756727.33
10304018075.53
9660.88
346587166.68
1045.0
6157119.12
1348958408.54
1224716275.72
31045.0
763826976.79
70605884.52
7817.91
100735567.35
93816.16
4711066.51
92072327.62
13720.0
7919774.6
4493286265.87
304.0
68096406.29
-73272.39
15466497.86
295746353.65
404525597.32
1034249674.31
50348691.68
1072388264.64
81690287.66
55931.0
66982476.22
1600.86
20090795.43
47688.97
61397.09
961256479.81
1316740013.53
4340.69
2222481.79
223384540.97
270238.65
115570212.05
106616.88
1453366877.74
18489121.8
135662.09
1399838.71
133937120.18
1697106896.28
56270.0
867524442.46
8854347529.48
3593665.44
1742926889.12
400482667.05
213809.39
29589541.97
9235179.4
15115778.64
129529788.55
1572.61
106620.29
17688009.23
48431.75
25239320.81
12353250.44
412035450.25
194402192.6
864984635.72
21059703.53
68802975.71
14671323.21
1328115808.39
76146.2
67187910.81
4302.39
1724584319.41
2338621491.52
10197.4
8430605597.75
1205239.34
2863832.2
469938.86
5392036563.89
549533370.97
18330588.81
1063978546.74
83923771.76
42046.01
11858552.05
845675.88
295955.79
132991991.01
51099.0
26663700.58
391414102.28
46552231.87
7764540.11
2016378.73
8100.19
-1648.1
463524970.61
41807.0
1718.8
1046748195.79
40427.68
12710918.06
8836571587.74
124191150.51
24231645.21
63605685.62
768509.89
139102452.36
2007582.74
54031.97
85877783.94
3171677.76
826241.26
195248955.05
31316.75
50316.06
174333201.06
2208149.97
532766427.28
824.11
1605.0
676252979.53
29478983.98
527513906.9
625494.76
383808835.13
8324866501.1
1373650012.91
43199045.35
6444.43
226121639.07
22776.5
22347965262.8
224468683.11
4619199.8
2694196.32
0.0
7390.0
254300.67
53576304.98
3630538.7
152336309.72
125.0
6814959.79
1520046.68
23153866377.02
1754187092.76
1952.03
86315785.7
390.0
34756625.46
118695.34
16959419.53
3806702057.2
65093758.91
8575437.82
470331690.87
329794612.06
43366654479.61
53457.65
10154118.34
360227361.62
4159947.39
8140.18
8171855.97
324710128.57
287405.3
125654975.09
